route,distance_meters,distance_km,duration_seconds,duration_hours,mode,station,destination
var19uniquevalue,21207,21.207,4305,1.1958333333333333,transit,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var20uniquevalue,20205,20.205,5226,1.4516666666666667,transit,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var21uniquevalue,35872,35.872,12927,3.5908333333333333,transit,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var22uniquevalue,25764,25.764,5075,1.4097222222222223,transit,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var23uniquevalue,17348,17.348,3828,1.0633333333333332,transit,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var24uniquevalue,19177,19.177,3129,0.8691666666666666,transit,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var1uniquevalue,26631,26.631,1454,0.4038888888888889,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var2uniquevalue,25847,25.847,1535,0.4263888888888889,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var3uniquevalue,22408,22.408,1406,0.39055555555555554,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var4uniquevalue,27985,27.985,1634,0.4538888888888889,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var5uniquevalue,24070,24.07,1300,0.3611111111111111,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var6uniquevalue,28432,28.432,1562,0.4338888888888889,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var7uniquevalue,18972,18.972,1206,0.335,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var8uniquevalue,25666,25.666,1565,0.43472222222222223,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var9uniquevalue,24120,24.12,1366,0.3794444444444444,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var10uniquevalue,22308,22.308,1453,0.4036111111111111,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var11uniquevalue,28318,28.318,1569,0.43583333333333335,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var12uniquevalue,26683,26.683,1674,0.465,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var13uniquevalue,28759,28.759,1611,0.4475,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var14uniquevalue,22151,22.151,1393,0.3869444444444444,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var15uniquevalue,21758,21.758,1389,0.3858333333333333,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var16uniquevalue,31117,31.117,1678,0.4661111111111111,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var17uniquevalue,30513,30.513,1655,0.4597222222222222,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var18uniquevalue,21803,21.803,1432,0.3977777777777778,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var19uniquevalue,24766,24.766,1664,0.4622222222222222,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var20uniquevalue,21466,21.466,1355,0.3763888888888889,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var21uniquevalue,23879,23.879,1536,0.4266666666666667,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var22uniquevalue,23179,23.179,1521,0.4225,car,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
