route,distance_meters,distance_km,duration_seconds,duration_hours,mode,station,destination
var12uniquevalue,21461,21.461,4269,1.1858333333333333,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var13uniquevalue,21947,21.947,3495,0.9708333333333333,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var14uniquevalue,20886,20.886,3538,0.9827777777777778,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var15uniquevalue,21542,21.542,4549,1.263611111111111,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var16uniquevalue,21340,21.34,4157,1.1547222222222222,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var17uniquevalue,18886,18.886,4604,1.278888888888889,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var18uniquevalue,29220,29.22,8011,2.225277777777778,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var19uniquevalue,21131,21.131,3324,0.9233333333333333,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var20uniquevalue,21909,21.909,3222,0.895,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var21uniquevalue,22960,22.96,3729,1.0358333333333334,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var22uniquevalue,23833,23.833,3794,1.0538888888888889,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var23uniquevalue,16132,16.132,4186,1.1627777777777777,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var24uniquevalue,16179,16.179,4222,1.1727777777777777,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var1uniquevalue,25178,25.178,1844,0.5122222222222222,car,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var2uniquevalue,18685,18.685,1635,0.45416666666666666,car,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var3uniquevalue,22849,22.849,1705,0.4736111111111111,car,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var4uniquevalue,18617,18.617,1619,0.44972222222222225,car,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var5uniquevalue,24648,24.648,1841,0.5113888888888889,car,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var6uniquevalue,14853,14.853,1224,0.34,car,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var7uniquevalue,21776,21.776,1574,0.43722222222222223,car,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
